player_name,number,height_cm
Jaylen Brown,SF,
Bruno Fernando,C,
Malik Fitts,PF,
Enes Freedom,C,
Sam Hauser,SF,
Juancho HernangÃ³mez,PF,
Al Horford,C,
Justin Jackson,SF,
Joe Johnson,SG,
Luke Kornet,C,
Romeo Langford,SG,
Kelan Martin,SF,
C.J. Miles,SG,
Juwan Morgan,PF,
Aaron Nesmith,SF,
Jabari Parker,PF,
Payton Pritchard,PG,
Josh Richardson,SG,
Matt Ryan,SF,
Dennis SchrÃ¶der,PG,
Marcus Smart,PG,
Nik Stauskas,SG,
Jayson Tatum,SF,
Daniel Theis,C,
Brodric Thomas,SG,
Derrick White,SG,
Grant Williams,PF,
Robert Williams,C,
