player_name,number,height_cm
Deng Adel,SF,
Jaron Blossomgame,SF,
Alec Burks,SG,
Marquese Chriss,PF,
Jordan Clarkson,SG,
Sam Dekker,PF,
Matthew Dellavedova,PG,
Channing Frye,C,
Andrew Harrison,PG,
George Hill,PG,
John Holland,SF,
Rodney Hood,SG,
Jalen Jones,SF,
Brandon Knight,PG,
Kyle Korver,PF,
Kevin Love,PF,
Patrick McCaw,SG,
Larry Nance Jr.,C,
David Nwaba,SF,
Cedi Osman,SF,
Cameron Payne,PG,
Collin Sexton,PG,
Kobi Simmons,PG,
J.R. Smith,SG,
Nik Stauskas,SG,
Tristan Thompson,C,
Ante Å½iÅ¾iÄ,C,
