player_name,number,height_cm
Marvin Bagley III,PF,
Saddiq Bey,SF,
Cade Cunningham,SG,
Cheick Diallo,C,
Hamidou Diallo,SG,
Carsen Edwards,SG,
Luka Garza,C,
Jerami Grant,PF,
Killian Hayes,PG,
Frank Jackson,PG,
Josh Jackson,SF,
Cory Joseph,PG,
Braxton Key,SF,
Saben Lee,PG,
Isaiah Livers,SF,
Trey Lyles,PF,
Rodney McGruder,SG,
Kelly Olynyk,C,
Jaysean Paige,PG,
Trayvon Palmer,SG,
Jamorko Pickett,PF,
Micah Potter,C,
Justin Robinson,PG,
Deividas Sirvydis,SG,
Cassius Stanley,SG,
Isaiah Stewart,C,
Derrick Walton,PG,
