player_name,number,height_cm
D.J. Augustin,PG,
Avery Bradley,SG,
Armoni Brooks,SG,
Sterling Brown,SG,
Bruno Caboclo,PF,
DeMarcus Cousins,C,
Eric Gordon,SG,
James Harden,PG,
Danuel House Jr.,SF,
DaQuan Jeffries,SG,
Mason Jones,SG,
Rodions Kurucs,SF,
Anthony Lamb,SF,
KJ Martin,SF,
Ben McLemore,SG,
David Nwaba,SF,
Victor Oladipo,SG,
Cameron Oliver,SF,
Kelly Olynyk,PF,
Justin Patton,C,
Kevin Porter Jr.,SG,
Cameron Reynolds,SF,
Ray Spalding,C,
Jae'Sean Tate,SF,
Brodric Thomas,SG,
Khyri Thomas,SG,
P.J. Tucker,PF,
John Wall,PG,
D.J. Wilson,PF,
Christian Wood,C,
