player_name,number,height_cm
Justin Anderson,SF,
Goga Bitadze,C,
Oshae Brissett,SF,
Malcolm Brogdon,PG,
Ahmad Caver,SG,
Torrey Craig,SF,
Chris Duarte,SG,
Tyrese Haliburton,PG,
Buddy Hield,SG,
Nate Hinton,SG,
Justin Holiday,SF,
Isaiah Jackson,C,
DeJon Jarreau,SG,
Jeremy Lamb,SF,
Caris LeVert,SG,
Kelan Martin,SF,
T.J. McConnell,PG,
Reggie Perry,PF,
Domantas Sabonis,PF,
Jalen Smith,PF,
Lance Stephenson,PG,
Keifer Sykes,PG,
Terry Taylor,PF,
Tristan Thompson,C,
Myles Turner,C,
Brad Wanamaker,PG,
Duane Washington Jr.,PG,
Gabe York,SG,
