player_name,number,height_cm
Kyle Anderson,SF,
Avery Bradley,SG,
Dillon Brooks,SF,
MarShon Brooks,SG,
Bruno Caboclo,PF,
Jevon Carter,PG,
Omri Casspi,SF,
Mike Conley,PG,
Tyler Dorsey,SG,
Marc Gasol,C,
JaMychal Green,PF,
Dusty Hannahs,SG,
Andrew Harrison,PG,
Justin Holiday,SG,
Jaren Jackson Jr.,PF,
Shelvin Mack,PG,
C.J. Miles,SF,
Joakim Noah,C,
Chandler Parsons,SF,
Ivan Rabb,PF,
Wayne Selden,SG,
D.J. Stephens,SG,
Garrett Temple,SG,
Jonas ValanÄiÅ«nas,C,
Julian Washburn,SF,
Yuta Watanabe,SF,
Delon Wright,PG,
Tyler Zeller,C,
