player_name,number,height_cm
Grayson Allen,SG,
Giannis Antetokounmpo,PF,
Thanasis Antetokounmpo,SF,
DeAndre' Bembry,SF,
Jevon Carter,PG,
Pat Connaughton,SF,
DeMarcus Cousins,C,
Javin DeLaurier,C,
Donte DiVincenzo,SG,
Jeff Dowtin,PG,
Langston Galloway,SG,
George Hill,PG,
Jrue Holiday,PG,
Rodney Hood,PF,
Serge Ibaka,C,
Georgios Kalaitzakis,SF,
Luke Kornet,C,
Brook Lopez,C,
Sandro Mamukelashvili,PF,
Wesley Matthews,SG,
Khris Middleton,SF,
Greg Monroe,C,
Jordan Nwora,SF,
Semi Ojeleye,PF,
Bobby Portis,C,
Justin Robinson,PG,
Javonte Smart,PG,
Rayjon Tucker,SG,
Luca Vildoza,PG,
Lindell Wigginton,PG,
