player_name,number,height_cm
Alexis AjinÃ§a,C,
Ãmer AÅÄ±k,C,
Anthony Brown,SF,
Omri Casspi,PF,
Quinn Cook,PG,
DeMarcus Cousins,C,
Jordan Crawford,SG,
Dante Cunningham,PF,
Anthony Davis,C,
Cheick Diallo,PF,
Tyreke Evans,SF,
Tim Frazier,PG,
Langston Galloway,PG,
Archie Goodwin,SG,
Buddy Hield,SG,
Solomon Hill,SF,
Jrue Holiday,PG,
Jarrett Jack,PG,
Terrence Jones,PF,
E'Twaun Moore,SG,
Donatas MotiejÅ«nas,PF,
Wayne Selden,SG,
Lance Stephenson,SG,
Hollis Thompson,SG,
Axel Toupane,SF,
Reggie Williams,SF,
