player_name,number,height_cm
Precious Achiuwa,PF,
OG Anunoby,SF,
Ryan Arcidiacono,PG,
RJ Barrett,SG,
Bojan BogdanoviÄ,SF,
Charlie Brown Jr.,SG,
Jalen Brunson,PG,
Alec Burks,SG,
Mamadi Diakite,PF,
Donte DiVincenzo,SG,
Malachi Flynn,PG,
Evan Fournier,SG,
Taj Gibson,PF,
Quentin Grimes,SG,
Josh Hart,SF,
Isaiah Hartenstein,C,
DaQuan Jeffries,SG,
Miles McBride,PG,
Shake Milton,SG,
Immanuel Quickley,SG,
Julius Randle,PF,
Mitchell Robinson,C,
Jericho Sims,C,
Dmytro Skapintsev,C,
Jacob Toppin,SF,
Dylan Windler,SF,
