player_name,number,height_cm
Al-Farouq Aminu,PF,
Cole Anthony,PG,
Dwayne Bacon,SG,
Mo Bamba,C,
Khem Birch,C,
Jordan Bone,PG,
Ignas Brazdeikis,SF,
Devin Cannady,PG,
Wendell Carter Jr.,C,
Michael Carter-Williams,SG,
Gary Clark,SF,
James Ennis III,SF,
Evan Fournier,SF,
Robert Franks,PF,
Markelle Fultz,PG,
Aaron Gordon,PF,
Donta Hall,PF,
R.J. Hampton,SG,
Gary Harris,SG,
Karim ManÃ©,PG,
Frank Mason III,PG,
Chuma Okeke,PF,
Otto Porter Jr.,PF,
Chasson Randle,PG,
Terrence Ross,SG,
Sindarius Thornwell,SG,
Nikola VuÄeviÄ,C,
Moritz Wagner,C,
