player_name,number,height_cm
Mo Bamba,C,
Nicolas Batum,PF,
Darius Bazley,PF,
Patrick Beverley,PG,
Ricky Council IV,SG,
Robert Covington,SF,
Jeff Dowtin,PG,
Joel Embiid,C,
Danny Green,SG,
Tobias Harris,PF,
Buddy Hield,SG,
Danuel House Jr.,SF,
Furkan Korkmaz,SG,
Kenneth Lofton Jr.,PF,
Kyle Lowry,PG,
KJ Martin,SF,
Tyrese Maxey,PG,
De'Anthony Melton,SG,
Marcus Morris,PF,
Kelly Oubre Jr.,SF,
Cameron Payne,PG,
Filip PetruÅ¡ev,C,
Paul Reed,C,
Javonte Smart,PG,
Terquavion Smith,PG,
Jaden Springer,SG,
P.J. Tucker,PF,
D.J. Wilson,PF,
