player_name,number,height_cm
Keljin Blevins,SF,
Greg Brown III,SF,
Robert Covington,PF,
Jarron Cumberland,SG,
Kris Dunn,PG,
CJ Elleby,SF,
Drew Eubanks,C,
Josh Hart,SG,
Elijah Hughes,SG,
Keon Johnson,SG,
Damian Lillard,PG,
Nassir Little,SF,
Didi Louzada,SG,
CJ McCollum,SG,
Cameron McGriff,SF,
Ben McLemore,SG,
Larry Nance Jr.,C,
Jusuf NurkiÄ,C,
Reggie Perry,PF,
Norman Powell,SF,
Anfernee Simons,SG,
Dennis Smith Jr.,PG,
Tony Snell,SG,
Trendon Watford,SF,
Brandon Williams,PG,
Justise Winslow,PF,
Cody Zeller,C,
