player_name,number,height_cm
Marvin Bagley III,PF,
Harrison Barnes,PF,
Terence Davis,SG,
Donte DiVincenzo,SG,
De'Aaron Fox,PG,
Tyrese Haliburton,SG,
Maurice Harkless,SF,
Buddy Hield,SG,
Justin Holiday,SG,
Richaun Holmes,C,
Josh Jackson,SF,
Damian Jones,C,
Louis King,SF,
Jeremy Lamb,SG,
Alex Len,C,
Trey Lyles,PF,
Chimezie Metu,C,
Davion Mitchell,PG,
Emmanuel Mudiay,PG,
Ade Murkey,SG,
Neemias Queta,C,
Jahmi'us Ramsey,SG,
Justin Robinson,PG,
Domantas Sabonis,PF,
Tristan Thompson,C,
Robert Woodard II,SF,
